Geneid,SRR6671741,SRR6671742,SRR6671744,SRR6671745,SRR6671746,SRR6671748,SRR6671757,SRR6671770,SRR6671771,SRR6671776,SRR6671780,SRR6671781,SRR6671782,SRR6671790,SRR6671736,SRR6671739,SRR6671749,SRR6671752,SRR6671753,SRR6671754,SRR6671755,SRR6671764,SRR6671772,SRR6671773,SRR6671775,SRR6671777,SRR6671779,SRR6671789,SRR6671737,SRR6671738,SRR6671740,SRR6671743,SRR6671747,SRR6671750,SRR6671751,SRR6671756,SRR6671758,SRR6671759,SRR6671760,SRR6671761,SRR6671762,SRR6671763,SRR6671765,SRR6671766,SRR6671767,SRR6671768,SRR6671769,SRR6671774,SRR6671778,SRR6671783,SRR6671784,SRR6671785,SRR6671786,SRR6671787,SRR6671788,SRR6671791,SRR6671792
AAC76695.1,46.082,23.09,39.99,8,12.092,34,18,7,14,19,22,85.699,55.401,12.123,25,25,19.046,13,18,50.986,11.024,9,21.112,28,25,4,25.931,31.005,32,52,38.001,29,11,9,19,22,21.006,41.995,17,7,11,14,9.001,20,7,6,9.081,9.605,9,10.984,15,23,6.996,18,20.365,8,10
ABP93456.1,35,17,28,16,19,354.221,26,200.796,563.142,24,92.061,25,18,113.029,22,12.246,160.611,34,18,31,20,13,24,25,23,15,85.917,9.018,21,35,11,13.27,25,175.872,25,13,25,22.311,29,12,19.521,23.058,15.579,16,16,12,162,12.005,45,21,299.11,294.48,384.098,16,19,166,274.844
QNV50552.1,9,8,9,4,2,17,6,4,10,3,6,3,6,6,6,6,5,11,4,23,1,4,6,8,5,7,11,4,4,9,7,3,6,4,10,10,9,4,6,7.006,9,9,3,5,5,9,1,6,4,3,5,5,6,5,2,5,6
AAC76696.2,809.135,703.364,799,2147.46,1514.599,1921.709,768.307,718.706,2088.259,991.863,919.969,246,91.717,1386.032,402.77,847.136,1296.393,2228.444,1390.967,1592.86,701.445,1834.854,455.208,597.206,654.608,659.488,970.86,387.386,407.009,840.662,652.005,696.596,1397.174,1040.741,3006.667,616.085,875.64,555.585,958.793,795.076,887.091,2603.226,1389.007,497.87,567.44,698.039,500.33,1061.422,634.271,55,382.051,571.051,560.569,473.221,558.856,1661.944,1652.193
AAC76697.1,221.807,210.307,105.865,36.823,33.041,443.454,207.3,103.302,191.452,91.158,42.235,780.032,449.633,160.304,437.949,158.738,213.52,54.107,31.706,980.795,336.375,43.007,167,126.103,175.286,31.224,23.362,386.654,375.622,652.425,144.44,172.444,31.741,57.469,35.849,282.921,189.775,137.737,122.012,45.833,47.247,55.342,22.604,588.535,532.096,321.161,149.98,91.753,15.626,11.066,135.943,202.321,58.003,378.45,362.312,74.42,59.318
AAC76698.1,53.727,34.506,37.607,53.076,36.57,104.881,44.901,26.156,70.011,33.317,82.284,243.461,120.869,43.517,49.83,30.957,38.569,43.884,35.638,167.543,32.869,50.784,30.528,32.672,52.424,22.513,78.654,44.431,46.373,59.674,38.41,38.205,43.33,34.619,46.287,32.887,43.996,32.948,42.795,26.555,19.617,39.588,39.774,54.239,41.461,37.176,36.189,25.269,42.628,48.11,31.007,28.996,40.452,53.41,47.914,49.654,70.533
AAC76699.1,59.466,46.815,44.578,46.102,26.661,108.665,52.316,25.648,62.537,29.178,47.585,140.513,71.435,44.864,52.411,41.937,35.998,37.387,31.693,159.702,31.729,45.566,48.472,42.756,40.601,29.268,58.097,55.915,49.01,68.141,46.293,33.416,38.023,22.912,45.876,36.441,41.378,42.36,36.199,26.788,18.893,44.263,43.15,52.623,46.114,35.85,18.558,30.002,35.745,59.07,27.005,44.444,22.398,67.748,54.905,40.601,61.159
AAC76700.1,87,84,64,79.003,82.011,196,74,53.02,193,47.152,95.103,227,100.166,100.08,105.048,44.01,79,137.945,93.048,323,98.17,58,60.066,59.017,93,35.007,92,135.955,97.004,167.282,53,78.035,63.147,86,139.176,102.086,98,73.073,46.026,39,32.027,90.001,70.012,166.094,126.289,130,49,45.059,67,82.143,66.252,74.975,56.015,175.007,114.352,91.757,122.101
AAC76701.1,35,40.058,16.844,47,31,94,44.775,21,67,24.002,60,74.001,35.594,48.004,39,20.014,30.903,55.004,44.704,121.983,26,35,19,23,38.474,16,65.125,40.933,28.001,30,24,25,42,16.001,85.768,28,52.006,25.009,25,28,23,42,42.267,39,25.078,23,27,20.886,49,24.717,33.672,29.025,25,41.77,33.024,38.077,48
AAC76702.1,19,15.028,8.156,35,25.005,31,26.23,6,33,9,50,66.999,38.408,25.011,14,9.986,11.097,26.003,28.296,45.02,10,21,4,16,15.526,10,35,9.067,14,24,12,8,31.009,7.007,60.232,5,21,6.991,14,9,8,32,24.884,17,12,14,12,4.114,26.003,11.283,9.328,21,7,12.23,13,19,27.32
AAC76703.2,16,27,16,23,22,48,44.004,16,15,19.017,32,2458.429,1550.113,15,37.001,21,18,25,16,144,52.019,17,18,19,23,7,35.526,63,29,19,20,20,23.014,13,36,38,25,13,21,8,8,44,25.11,48,35.001,28,14,15,15,108.002,19,16,6,62,53,9,8
AYC08252.1,9,10,6,11,8.009,16,8.001,3,10,4.946,23,19.003,10.455,8,3.831,4,5,16.846,12.83,19,3,11,4,8,6,3,18.007,2,2,6,7,4,12.819,3,25,3,3.987,5.895,3,3,7.006,14.782,16.94,5,5,4,4,5,20,2.593,11,3.454,7,8.861,10.845,12.343,13.993
AYC08253.1,11,3,5,11,9.991,21,10,8.003,15,5.054,41,38.997,29.545,8,7.169,6,6,11.158,7.17,12,8,9,5,1,5,8,27.007,4,6,5,14,11,4.181,3,26,5,8.013,6.105,2,3,6,16.22,5.06,12,3,6,4,1,19,7.407,5,10.546,2,6.139,7.158,10.657,7.008
